Season,Team,GP,W,L,WIN %,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REDB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Salary,Champion?
2018,Chicago Bulls,82,22,60,0.268,48.5,104.9,39.8,87.9,45.3,9.1,25.9,35.1,16.2,20.7,78.3,8.8,34.1,42.9,21.9,14.1,7.4,4.3,5.8,20.3,18.7,-8.4,"$90,466,801",0
2017,Chicago Bulls,82,41,41,0.5,48.2,102.9,38.6,87.1,44.4,7.6,22.3,34,18,22.5,79.8,12.2,34.1,46.3,22.6,13.6,7.8,4.8,4.6,17.7,18.8,0.4,"$92,522,306",0
2016,Chicago Bulls,82,42,40,0.512,48.5,101.6,38.6,87.4,44.1,7.9,21.4,37.1,16.5,21,78.7,11.1,35.2,46.3,22.8,13.9,6,5.7,5.7,18.8,18.7,-1.5,"$87,073,838",0
2015,Chicago Bulls,82,50,32,0.61,48.5,100.8,36.6,82.9,44.2,7.9,22.3,35.3,19.7,25.2,78.3,11.7,34,45.7,21.7,14,6.3,5.8,5.4,18.2,21.2,3,"$67,414,682",0
2014,Chicago Bulls,82,48,34,0.585,48.6,93.7,34.7,80.2,43.2,6.2,17.8,34.8,18.1,23.3,77.9,11.4,32.7,44.1,22.7,14.9,7.2,5.2,6,19.1,20.9,1.9,"$73,336,893",0
2013,Chicago Bulls,82,45,37,0.549,48.4,93.2,35.7,81.7,43.7,5.4,15.4,35.3,16.4,21.2,77.3,12.5,30.7,43.2,23,14.3,7.2,5.1,5.8,19.7,19.6,0.3,"$74,491,280",0
2012,Chicago Bulls,66,50,16,0.758,48.3,96.3,37.4,82.8,45.2,6.3,16.9,37.5,15.2,21.1,72.2,13.9,32.8,46.7,23.1,14,6.9,5.9,5.2,17.3,17.7,8.2,"$69,548,447",0
2011,Chicago Bulls,82,62,20,0.756,48.4,98.6,37.1,80.3,46.2,6.2,17.3,36.1,18.2,24.5,74.3,11.8,32.4,44.2,22.3,14.2,7.2,5.7,5.8,20,20.1,7.3,"$54,538,076",0
2010,Chicago Bulls,82,41,41,0.5,48.5,97.5,37.6,83.2,45.1,4.3,13,33,18,23.9,75.4,11.4,33.1,44.5,20.8,14.3,6.5,5.8,5.3,20.1,20,-1.6,"$69,700,359",0
2009,Chicago Bulls,82,41,41,0.5,48.6,102.2,38.1,83.5,45.7,6,15.8,38.1,19.9,25,79.6,11.8,30.3,42.1,21.1,14.5,7.5,5.5,5.5,20.8,20.8,-0.3,"$68,126,774",0
2008,Chicago Bulls,82,33,49,0.402,48.3,97.3,36.4,83.7,43.5,5.8,15.9,36.3,18.7,24.7,75.6,12.8,30.2,43,22.1,14.6,7.7,5.2,5.7,21.8,21.3,-3.1,"$63,084,166",0
2007,Chicago Bulls,82,49,33,0.598,48.2,98.8,37.1,81.3,45.7,5.9,15.1,38.8,18.6,25.4,73.4,12,31.7,43.7,22.3,16,7.8,5.4,5.3,23.3,23.2,5,"$54,754,904",0
2006,Chicago Bulls,82,41,41,0.5,48.5,97.8,36.6,82.2,44.6,6.8,18,37.9,17.7,24,73.8,11,31.7,42.8,22,14.9,6.2,4.2,5.1,24.9,23,0.6,"$57,166,530",0
2005,Chicago Bulls,82,47,35,0.573,48.4,94.5,34.7,80.4,43.2,6.2,17.5,35.7,18.7,25,75,12.2,31.6,43.8,21.3,16.7,7,4.5,5.3,24.7,0.1,1.1,"$57,276,129",0
2004,Chicago Bulls,82,23,59,0.28,48.4,89.7,34.1,82.4,41.4,5.2,15.3,34.2,16.2,22.4,72.5,12.8,30.7,43.5,21.9,16.1,8,4.8,5.4,23.3,0,-6.4,"$55,489,797",0
2003,Chicago Bulls,82,30,52,0.366,48.6,95,36.5,81.9,44.5,4.3,12.2,35,17.7,24.6,72.2,12,31,43,21.7,16.9,7.4,5.6,5,24.7,0.1,-5.1,"$44,531,095",0
2002,Chicago Bulls,82,21,61,0.256,48.3,89.5,34.3,79.2,43.3,3.7,10.6,34.6,17.2,23.9,72.2,11.3,28.8,40,22.2,15.3,7.7,4.4,4.9,22.4,0.2,-8.5,"$42,592,857",0
2001,Chicago Bulls,82,15,67,0.183,48.4,87.6,33.2,78.2,42.4,4,11.6,34.6,17.2,23.3,73.9,11.3,27.6,38.9,22.1,15.8,8.2,4.6,5.2,23.2,0,-9.1,"$29,691,907",0
2000,Chicago Bulls,82,17,65,0.207,48.3,84.8,31.3,75.4,41.5,4.1,12.6,32.9,18.1,25.5,70.9,12.6,28.3,40.9,20,19,7.9,4.7,5.6,23.3,2.6,-9.4,"$27,032,368",0
1999,Chicago Bulls,50,13,37,0.26,48.3,81.9,30.8,76.7,40.1,3.5,12.2,29,16.8,23.7,70.9,11.5,27.9,39.3,20.3,15.5,8.7,3.4,5.7,22.2,0.1,-9.5,"$28,640,500",0
1998,Chicago Bulls,82,62,20,0.756,48.4,96.7,37.4,82.9,45.1,3.8,11.7,32.3,18.2,24.5,74.3,15.2,29.7,44.9,23.8,14.4,8.5,4.3,4.3,20.6,0.2,7.1,"$61,330,670",1
1997,Chicago Bulls,82,69,13,0.841,48.1,103.1,40,84.4,47.3,6.4,17.1,37.3,16.8,22.5,74.7,15.1,30,45.1,26.1,13.5,8.7,4,3.5,19.7,0.2,10.8,"$58,270,000",1
2022,Cleveland Cavaliers,11,7,4,0.636,48,106,39.6,85.8,46.2,10.8,31.2,34.7,15.9,20.6,77.1,11,33.9,44.9,25.2,16.5,7.6,3.6,5.5,15.7,19,1.1,"$135,240,876",
2021,Cleveland Cavaliers,72,22,50,0.306,48.4,103.8,38.6,85.8,45,10,29.7,33.6,16.7,22.4,74.3,10.4,32.3,42.8,23.8,15.5,7.8,4.5,5.9,18.2,20.2,-8.4,"$129,605,319",0
2020,Cleveland Cavaliers,65,19,46,0.292,48.4,106.9,40.3,87.9,45.8,11.2,31.8,35.1,15.1,19.9,75.8,10.8,33.4,44.2,23.1,16.5,6.9,3.2,6.3,18.3,19.6,-7.9,"$131,059,022",0
2019,Cleveland Cavaliers,82,19,63,0.232,48.2,104.5,38.9,87.6,44.4,10.3,29.1,35.5,16.4,20.7,79.2,10.7,31.9,42.7,20.7,13.5,6.5,2.4,5.6,20,19.4,-9.6,"$123,255,073",0
2018,Cleveland Cavaliers,82,19,63,0.232,48.2,104.5,38.9,87.6,44.4,10.3,29.1,35.5,16.4,20.7,79.2,10.7,31.9,42.7,20.7,13.5,6.5,2.4,5.6,20,19.4,-9.6,"$137,722,926",0
2017,Cleveland Cavaliers,82,51,31,0.622,48.5,110.3,39.9,84.9,47,13,33.9,38.4,17.5,23.3,74.8,9.3,34.4,43.7,22.7,13.7,6.6,4,4.3,18.1,20.6,3.2,"$128,522,489",0
2016,Cleveland Cavaliers,82,57,25,0.695,48.4,104.3,38.7,84,46,10.7,29.6,36.2,16.3,21.7,74.8,10.6,33.9,44.5,22.7,13.6,6.7,3.9,4.4,20.3,20.6,6,"$108,300,458",1
2015,Cleveland Cavaliers,82,53,29,0.646,48.2,103.1,37.7,82.2,45.8,10.1,27.5,36.7,17.7,23.6,75.1,11.1,31.9,43,22.1,14.3,7.4,4.1,4.5,18.4,20.5,4.5,"$82,592,827",0
2014,Cleveland Cavaliers,82,33,49,0.402,48.6,98.2,37,84.8,43.7,7.1,20,35.6,17,22.7,75.1,12.1,32.1,44.1,21.2,14.2,7.1,3.7,5.6,20,19.5,-3.3,"$66,654,061",0
2013,Cleveland Cavaliers,82,24,58,0.293,48.1,96.5,36.5,84.2,43.4,6.7,19.3,34.6,16.8,22.3,75.6,12.2,28.8,41,20.7,14,7.9,4.1,6.8,21.2,19.7,-4.7,"$54,472,190",0
2012,Cleveland Cavaliers,66,21,45,0.318,48.4,93,34.3,81.2,42.2,6.7,19.3,34.6,17.8,24.9,71.6,12.7,29.5,42.3,19.8,15.4,7.1,4,6.2,20,20.9,-7.2,"$64,875,599",0
2011,Cleveland Cavaliers,82,19,63,0.232,48.2,95.5,35.2,81.1,43.4,6.2,18.2,34.2,18.9,25.3,74.5,10.4,29.9,40.3,21,14.2,6.6,4.2,6,20.1,21.3,-9,"$53,990,021",0
2010,Cleveland Cavaliers,82,61,21,0.744,48.2,102.1,37.8,77.9,48.5,7.3,19.3,38.1,19.1,26.6,72,9.6,32.8,42.5,22.4,13.9,6.9,5.2,4,19.4,20.8,6.5,"$83,398,534",0
2009,Cleveland Cavaliers,82,66,16,0.805,48.2,100.3,36.9,78.7,46.8,8,20.4,39.3,18.6,24.5,75.7,10.8,31.4,42.2,20.3,12.7,7.2,5.3,4.1,20.3,20.3,8.9,"$91,298,233",0
2008,Cleveland Cavaliers,82,45,37,0.549,48.4,96.4,35.8,81.7,43.9,6.7,18.8,35.8,18,25.1,71.7,13.3,31.3,44.6,20,14,7.1,5.2,4.7,20.9,20.3,-0.4,"$82,217,583",0
2007,Cleveland Cavaliers,82,50,32,0.61,48.5,96.8,36.3,81.2,44.7,6,17.1,35.2,18.1,26,69.6,12.7,30.8,43.5,20.8,14.4,7.6,4.3,4.3,21.7,22,3.8,"$62,992,729",0
2006,Cleveland Cavaliers,82,50,32,0.61,48.4,97.6,35.5,78.2,45.4,6.1,17.9,33.9,20.6,28.3,72.9,11.7,30.6,42.3,19,13.9,6.9,4.8,4.4,21.1,22.5,2.2,"$51,303,962",0
2005,Cleveland Cavaliers,82,42,40,0.512,48.4,96.5,36.5,81.5,44.7,3.7,11,33.2,19.9,26.5,75.2,13.6,28.7,42.3,22.6,13.9,8,5.6,5.1,22.6,0,0.8,"$49,175,274",0
2004,Cleveland Cavaliers,82,35,47,0.427,48.4,92.9,35.6,82.4,43.3,3,9.6,31.4,18.6,24.8,75.3,13.6,31.9,45.6,22,14.8,7.1,6.5,5.3,21.3,0,-2.6,"$46,186,472",0
2003,Cleveland Cavaliers,82,17,65,0.207,48.4,91.4,34.8,82.3,42.2,3.6,10.9,32.7,18.3,24.5,74.7,13.6,31,44.6,20.9,18.3,7.8,6.4,6,22.7,0.1,-9.6,"$49,610,448",0
2002,Cleveland Cavaliers,82,29,53,0.354,48.4,95.3,36,80.3,44.8,4.7,12.5,37.7,18.6,24.1,77.2,11.8,30.3,42.1,23.1,14.6,7,5.7,5.6,21.4,0.1,-3.3,"$45,649,974",0
2001,Cleveland Cavaliers,82,30,52,0.366,48.4,92.2,35.2,79.7,44.2,2.7,8,33.4,19,24.9,76.5,12.4,29.8,42.1,20.8,16.5,7.8,5.3,6.6,23.2,0.1,-4.2,"$49,780,549",0
2000,Cleveland Cavaliers,82,32,50,0.39,48.4,97,36.3,82.1,44.2,4.2,11.2,37.3,20.2,26.9,75,12.3,30.5,42.8,23.7,17.4,8.7,4.4,6.1,27.1,3,-3.5,"$46,547,966",0
1999,Cleveland Cavaliers,50,22,28,0.44,48.2,86.4,31.2,71.2,43.9,3.6,10.7,34.1,20.3,27.1,74.9,9.4,26.3,35.8,21.9,15.7,9,4.1,5.6,24.2,0.1,-1.7,"$28,714,000",0
1998,Cleveland Cavaliers,82,47,35,0.573,48.4,92.5,34.4,75.7,45.4,3.6,9.8,37.2,20.2,26.7,75.6,11.6,28.4,40.1,23.1,17.3,9.9,5.1,5.5,23.6,0.1,2.7,"$26,677,290",0
1997,Cleveland Cavaliers,82,42,40,0.512,48.4,87.5,33,72.8,45.3,5.9,15.7,37.6,15.6,21.6,72.3,11.1,26.3,37.4,20.9,14.5,8,3.8,4.3,23,0.2,1.8,"$18,867,500",0
2022,Dallas Mavericks,10,7,3,0.7,48,102.4,37.7,87.4,43.1,12.6,39.7,31.7,14.4,20.3,70.9,10.4,35.5,45.9,20.5,13.4,6.7,4.6,5.2,19.8,19.8,-2.3,"$121,016,597",
2021,Dallas Mavericks,72,42,30,0.583,48.1,112.4,41.1,87.3,47,13.8,38.1,36.2,16.5,21.2,77.8,9.1,34.2,43.3,22.9,12.1,6.3,4.3,3.7,19.4,20.1,2.3,"$127,657,823",0
2020,Dallas Mavericks,75,43,32,0.573,48.5,117,41.7,90.3,46.1,15.1,41.3,36.7,18.6,23.8,77.9,10.5,36.4,46.9,24.7,12.7,6.1,4.8,4.1,19.5,21.3,4.9,"$120,871,082",0
2019,Dallas Mavericks,82,33,49,0.402,48.2,108.9,38.8,86.9,44.7,12.5,36.6,34,18.8,25.3,74.2,10.1,35.2,45.3,23.4,14.2,6.5,4.3,4.5,20.1,23.2,-1.3,"$86,958,881",0
2018,Dallas Mavericks,82,33,49,0.402,48.2,108.9,38.8,86.9,44.7,12.5,36.6,34,18.8,25.3,74.2,10.1,35.2,45.3,23.4,14.2,6.5,4.3,4.5,20.1,23.2,-1.3,"$85,440,245",0
2017,Dallas Mavericks,82,33,49,0.402,48.2,97.9,36.2,82.3,44,10.7,30.2,35.5,14.8,18.5,80.1,7.9,30.7,38.6,20.8,11.9,7.5,3.7,3.4,19.1,19.4,-2.9,"$102,354,966",0
2016,Dallas Mavericks,82,42,40,0.512,48.8,102.3,37.4,84.1,44.4,9.8,28.6,34.4,17.7,22.3,79.4,9.2,33.9,43.1,22.1,12.8,6.8,3.7,4.4,19.5,21.4,-0.3,"$75,397,067",0
2015,Dallas Mavericks,82,50,32,0.61,48.5,105.2,39.7,85.8,46.3,8.9,25.4,35.2,16.9,22.5,75.2,10.5,31.8,42.3,22.5,13,8.1,4.5,3.8,20,22.1,2.9,"$84,820,225",0
2014,Dallas Mavericks,82,49,33,0.598,48.4,104.8,39.6,83.6,47.4,8.8,22.9,38.4,16.8,21.1,79.5,10.2,30.7,40.9,23.6,13.5,8.6,4.3,3.5,20,19.9,2.4,"$75,012,158",0
2013,Dallas Mavericks,82,41,41,0.5,48.7,101.1,38.8,84,46.2,7.4,19.9,37.2,16.1,20.4,79.3,9.4,32.6,41.9,23.2,14,7.9,5.5,4.1,20.7,18.9,-0.6,"$69,766,571",0
2012,Dallas Mavericks,66,36,30,0.545,48.7,95.8,36.3,82,44.3,7.5,22.2,33.9,15.6,20.2,77.1,10.1,32.7,42.8,20.9,14,8.6,5.1,4,18.6,18.4,1,"$77,180,233",0
2011,Dallas Mavericks,82,57,25,0.695,48.1,100.2,37.4,78.8,47.5,7.9,21.6,36.5,17.5,22.6,77.7,9.5,31.9,41.4,23.8,14,6.8,4.3,3.7,19.2,20.1,4.2,"$85,409,890",1
2010,Dallas Mavericks,82,55,27,0.671,48.5,102,38.3,82.4,46.4,6.8,18.3,37.2,18.6,22.8,81.6,10.2,31.5,41.7,23.4,12.9,7.6,5.5,4.1,19.1,20.1,2.7,"$88,916,075",0
2009,Dallas Mavericks,82,50,32,0.61,48.3,101.7,38.1,82.6,46.2,7,19.9,35,18.5,22.6,81.9,11.1,31.6,42.7,21.7,12.7,7.2,5.2,4.1,19.5,20.1,2,"$95,045,559",0
2008,Dallas Mavericks,82,51,31,0.622,48.1,100.4,36.9,79.5,46.4,6,17.1,35.2,20.6,25.3,81.4,10.8,32.2,43,21,12.6,6,4.9,4.4,21.8,21.2,4.5,"$101,694,879",0
2007,Dallas Mavericks,82,67,15,0.817,48.2,100,36.7,78.6,46.7,6.5,17.1,38.1,20.1,24.9,80.5,11.2,30.7,41.9,19.9,13.9,6.8,5,3.8,22.4,22.1,7.2,"$88,531,846",0
2006,Dallas Mavericks,82,60,22,0.732,48.5,99.1,36,77.7,46.2,5.1,13.6,37.4,22.2,28.3,78.3,12.6,29.6,42.2,18,13.6,7.2,6,4.9,22.4,23.6,6.1,"$98,454,832",0
2005,Dallas Mavericks,82,58,24,0.707,48.1,102.5,37.3,81.6,45.7,5.6,15.5,36.4,22.3,28.2,78.9,12.1,30.9,42.9,19.6,13.4,8.6,5.6,4.9,22.3,0,5.7,"$91,908,443",0
2004,Dallas Mavericks,82,52,30,0.634,48.3,105.2,40.5,88.2,45.9,6.2,17.8,34.8,18,22.6,79.6,14.3,31,45.3,23.9,12.2,8,5.3,4.7,19.6,0,4.4,"$79,536,723",0
2003,Dallas Mavericks,82,60,22,0.732,48.2,103,38.5,85.1,45.3,7.8,20.3,38.1,18.1,21.9,82.9,11.1,31,42.1,22.4,11.6,8.1,5.5,3.9,21.1,0.1,7.8,"$72,940,316",0
2002,Dallas Mavericks,82,57,25,0.695,48.5,105.2,39,84.5,46.2,7.6,20.1,37.8,19.6,24.3,80.6,11.2,31.3,42.5,22.1,12.1,7.1,4.8,4.6,22.5,0.1,4.3,"$57,960,080",0
2001,Dallas Mavericks,82,53,29,0.646,48.3,100.5,37.6,81.9,45.9,6.3,16.5,38.1,18.9,23.8,79.4,10.1,31.4,41.5,21.2,13.9,7.5,6,4.6,23.3,0.1,4.3,"$52,274,842",0
2000,Dallas Mavericks,82,40,42,0.488,48.1,101.4,39,85.9,45.3,6.3,16.2,39.1,17.2,21.4,80.4,11.4,29.8,41.2,22.1,13.7,7.2,5.1,5.1,21.6,3.8,-0.6,"$40,014,500",0
1999,Dallas Mavericks,50,19,31,0.38,48.3,91.6,35,80.7,43.4,4,11.9,33.9,17.6,24.2,72.8,12.9,29.6,42.5,18.4,13.8,7,5.8,4.9,21.3,0.1,-2.4,"$35,565,568",0
1998,Dallas Mavericks,82,20,62,0.244,48.5,91.4,35.1,82.4,42.7,5.1,14.4,35.7,16,21.2,75.3,12.3,27.8,40.1,18.7,14.4,7.9,5.7,4.6,20,0.2,-6.1,"$27,268,948",0
1997,Dallas Mavericks,82,24,58,0.293,48.3,90.6,34.3,78.7,43.6,5.2,16,32.6,16.8,23.4,71.7,12.7,27.6,40.3,20.3,16.1,8,4.3,5.3,21.9,0.2,-6.4,"$26,107,500",0
2022,Denver Nuggets,10,6,4,0.6,48,101.9,40.4,86.8,46.5,10.3,35.4,29.1,10.8,15.1,71.5,8.8,35.8,44.6,24.1,15.8,8.9,4.4,4.5,19.4,18.5,3.4,"$136,466,158",
2021,Denver Nuggets,72,47,25,0.653,48.6,115.1,43.3,89.2,48.5,12.9,34.2,37.7,15.7,19.5,80.3,10.5,33.9,44.4,26.8,13.5,8.1,4.5,4.5,19.1,19.2,4.9,"$129,793,210",0
2020,Denver Nuggets,73,46,27,0.63,48.6,111.3,42,88.9,47.3,11,30.6,35.9,16.2,20.9,77.7,10.8,33.4,44.1,26.7,13.8,8,4.6,4.4,20.3,20.5,2.1,"$128,746,180",0
2019,Denver Nuggets,82,54,28,0.659,48.1,110.7,41.9,90,46.6,11,31.4,35.1,15.8,20.9,75.5,11.9,34.5,46.4,27.4,13.4,7.7,4.4,5,20,20.4,4,"$118,327,016",0
2018,Denver Nuggets,82,54,28,0.659,48.1,110.7,41.9,90,46.6,11,31.4,35.1,15.8,20.9,75.5,11.9,34.5,46.4,27.4,13.4,7.7,4.4,5,20,20.4,4,"$107,543,599",0
2017,Denver Nuggets,82,40,42,0.488,48.2,111.7,41.2,87.7,46.9,10.6,28.8,36.8,18.7,24.2,77.4,11.8,34.6,46.4,25.3,15,6.9,3.9,4.9,19.1,20.2,0.5,"$83,836,460",0
2016,Denver Nuggets,82,33,49,0.402,48.4,101.9,37.7,85.4,44.2,8,23.7,33.8,18.5,24.1,76.6,11.5,33.1,44.6,22.7,14.7,7.4,4.8,6.3,21,20.9,-3.1,"$72,589,023",0
2015,Denver Nuggets,82,30,52,0.366,48.5,101.5,37.8,87.3,43.3,8,24.8,32.5,17.8,24.3,73.4,12.3,32.4,44.7,21.8,14.2,7.8,4.5,6.1,23,20.7,-3.5,"$56,820,307",0
2014,Denver Nuggets,82,36,46,0.439,48.2,104.4,38.4,85.9,44.7,8.6,23.9,35.8,19.1,26.3,72.6,12.3,33.1,45.4,22.4,15.9,7.5,5.6,5.6,23,21.7,-2.1,"$65,782,065",0
2013,Denver Nuggets,82,57,25,0.695,48.5,106.1,40.7,85.2,47.8,6.4,18.5,34.3,18.4,26.2,70.1,13.3,31.7,45,24.4,15.3,9.3,6.5,6.8,20.5,21.6,5.1,"$63,444,254",0
2012,Denver Nuggets,66,38,28,0.576,48.6,104.1,39,81.9,47.6,6.6,19.9,33.2,19.6,26.7,73.5,11.2,31.9,43.1,24,15.4,8.2,5,6.7,19.7,22,2.9,"$58,553,173",0
2011,Denver Nuggets,82,50,32,0.61,48.1,107.5,38.4,80.6,47.6,8.1,20.8,38.8,22.7,29.6,76.5,9.6,32.3,42,22.1,14.1,7.4,4.3,6,21,22.7,4.8,"$68,019,290",0
2010,Denver Nuggets,82,53,29,0.646,48.2,106.5,38.1,81.4,46.8,6.6,18.5,35.9,23.6,30.6,77.2,10.8,30.5,41.4,21,13.9,8.3,5.1,5.3,22.5,23.7,4.1,"$74,935,538",0
2009,Denver Nuggets,82,54,28,0.659,48.1,104.3,37.3,79.4,47,6.7,18,37.1,23.1,30.3,76,11,30.6,41.6,22.2,15.3,8.7,6,5.5,22.9,23.7,3.4,"$70,121,003",0
2008,Denver Nuggets,82,50,32,0.61,48.4,110.7,40.3,85.8,47,6.9,19.6,35.5,23.1,30.7,75.1,11.2,32.9,44.1,24.7,14.7,9.2,6.7,4.8,21.1,23.8,3.7,"$82,958,227",0
2007,Denver Nuggets,82,45,37,0.549,48.2,105.4,38.6,83,46.5,5.9,17.6,33.6,22.3,29.9,74.6,12.2,31.2,43.4,23.4,16.5,8.3,5.3,5.2,21.4,23.7,1.6,"$65,517,776",0
2006,Denver Nuggets,82,44,38,0.537,48.6,100.3,37.5,81.4,46.1,4.3,13.1,32.5,21,28.2,74.4,11,30.3,41.3,23.4,14.8,8.5,5.6,5.3,22.7,23.3,0.2,"$56,492,172",0
2005,Denver Nuggets,82,49,33,0.598,48.2,99.5,37,80.7,45.9,3.9,11.5,34,21.5,28.2,76.3,11.8,30.2,42,23.9,14.9,9.1,6,5.6,22.9,0.1,2,"$46,101,759",0
2004,Denver Nuggets,82,43,39,0.524,48.1,97.2,36.5,82.5,44.3,4,12,33.6,20.2,26.3,76.7,13.2,29.1,42.3,21.9,15.6,9.1,6.3,5.8,22,0.1,1.1,"$39,398,646",0
2003,Denver Nuggets,82,17,65,0.207,48.1,84.2,32.8,79.8,41.1,2.8,10,27.8,15.8,22.6,69.9,13.6,28.8,42.4,21.2,18.5,8.7,5.1,6.6,25.1,0.1,-8.3,"$49,109,209",0
2002,Denver Nuggets,82,27,55,0.329,48.3,92.2,35.5,83.8,42.4,5.2,15.7,32.9,15.9,21.4,74.4,13.6,28.2,41.8,22.2,14.7,7.5,5.6,6.8,22.8,0.1,-5.8,"$54,460,475",0
2001,Denver Nuggets,82,40,42,0.488,48.2,96.6,36.3,83.9,43.3,6.2,17.6,35.5,17.7,24,73.7,12.7,31.5,44.2,24,13.9,6.7,6.6,6.1,22.2,0,-2.5,"$52,189,220",0
2000,Denver Nuggets,82,35,47,0.427,48.4,99,37.3,84.3,44.2,5.7,17,33.6,18.7,25.8,72.4,13.1,31.6,44.7,23.3,15.6,6.8,7.5,5.6,23.9,2.5,-2.1,"$40,677,095",0
1999,Denver Nuggets,50,14,36,0.28,48.1,93.5,33.6,79.8,42.1,6,18.4,32.8,20.2,26.5,76.2,12.9,27.8,40.8,19.4,14.8,7.5,5.5,5.5,22.9,0.1,-6.6,"$29,392,200",0
1998,Denver Nuggets,82,11,71,0.134,48.1,89,32.6,78.2,41.8,3.5,10.9,32.3,20.2,26.2,77.2,12.7,26.3,39,18.9,16,8.1,4.8,6.5,23.6,0.2,-11.8,"$26,518,960",0
1997,Denver Nuggets,82,21,61,0.256,48.6,97.8,35.8,81.5,43.9,7.8,20.9,37.2,18.5,24.3,76.1,12.1,29.9,42,23,16.6,6.1,5.9,5.5,21.8,0.2,-6.3,"$21,243,300",0
2022,Detroit Pistons,9,1,8,0.111,48,94.9,34.6,87.8,39.4,9.9,35.7,27.7,15.9,21.3,74.5,11.1,30.9,42,20.6,15.3,8.9,5,5.7,18.7,19.9,-12.3,"$126,365,870",
2021,Detroit Pistons,72,20,52,0.278,48.4,106.6,38.7,85.6,45.2,11.6,32.9,35.1,17.8,23.4,75.9,9.6,33.1,42.7,24.2,14.9,7.4,5.2,5.8,20.5,20.4,-4.5,"$117,041,599",0
2020,Detroit Pistons,66,20,46,0.303,48.4,107.2,39.3,85.7,45.9,12,32.7,36.7,16.6,22.4,74.3,9.8,32,41.7,24.1,15.3,7.4,4.5,5.6,19.7,19.8,-3.6,"$104,527,576",0
2019,Detroit Pistons,82,41,41,0.5,48.4,107,38.8,88.3,44,12.1,34.8,34.8,17.3,23.1,74.7,11.4,33.6,45,22.5,13.8,6.9,4,5.1,22.1,21.3,-0.2,"$126,557,932",0
2018,Detroit Pistons,82,41,41,0.5,48.4,107,38.8,88.3,44,12.1,34.8,34.8,17.3,23.1,74.7,11.4,33.6,45,22.5,13.8,6.9,4,5.1,22.1,21.3,-0.2,"$119,773,191",0
2017,Detroit Pistons,82,37,45,0.451,48.3,101.3,39.9,88.8,44.9,7.7,23.4,33,13.9,19.3,71.9,11.1,34.6,45.7,21.1,11.9,7,3.8,4.1,17.9,17.5,-1.1,"$106,492,988",0
2016,Detroit Pistons,82,44,38,0.537,48.5,102,37.9,86.4,43.9,9,26.2,34.5,17.1,25.5,66.8,12.5,33.9,46.3,19.4,13.5,7,3.7,4.5,19,21.6,0.6,"$77,256,014",0
2015,Detroit Pistons,82,32,50,0.39,48.4,98.5,37.1,85.8,43.2,8.6,24.9,34.4,15.8,22.4,70.3,12.8,32.1,44.9,21.6,13.4,7.6,4.7,4.8,19,19.3,-1,"$67,410,675",0
2014,Detroit Pistons,82,29,53,0.354,48.2,101,38.8,86.9,44.7,6.2,19.3,32.1,17.3,25.7,67,14.6,30.8,45.4,20.9,14.5,8.4,4.8,4.9,20.3,20.7,-3.7,"$62,387,432",0
2013,Detroit Pistons,82,29,53,0.354,48.3,94.9,36.3,81,44.9,6.3,17.6,35.6,15.9,22.8,69.9,12.1,30,42.1,21.2,15.1,7,4.9,5.8,19.8,19.9,-4,"$68,807,497",0
2012,Detroit Pistons,66,25,41,0.379,48.4,90.9,34.7,79.3,43.8,4.8,13.9,34.6,16.6,22.1,75.2,11.7,28.5,40.3,18.7,15.7,7,4.2,5.3,19.6,19.4,-4.8,"$70,923,605",0
2011,Detroit Pistons,82,30,52,0.366,48.5,97,37.3,81.1,46,5.8,15.3,37.6,16.7,22.6,73.7,11.4,27.3,38.6,21.1,13,7.3,4,4.6,19.9,18.8,-3.6,"$65,517,821",0
2010,Detroit Pistons,82,27,55,0.329,48.2,94,35.9,80.5,44.5,4.6,14.5,31.4,17.7,24.4,72.8,12.8,27.3,40.2,19.4,13.4,7.3,3.8,4.9,22.2,20.8,-5.1,"$60,185,833",0
2009,Detroit Pistons,82,39,43,0.476,48.5,94.2,36.4,80,45.4,4.6,13.2,34.9,16.9,22.5,75.1,11.6,29.9,41.4,20.6,11.9,6,4.6,4.2,20.9,19.7,-0.5,"$71,434,174",0
2008,Detroit Pistons,82,59,23,0.72,48.1,97.5,36.6,79.9,45.8,5.9,16.2,36.6,18.4,24,76.7,11.9,29.5,41.4,22.3,11.7,7.1,5.8,3.9,20.6,19.7,7.4,"$65,898,875",0
2007,Detroit Pistons,82,53,29,0.646,48.5,96,35.9,79.1,45.4,5.5,15.9,34.4,18.8,24.2,77.4,11.6,29,40.5,21.6,12.2,7.1,5.8,3.5,20.4,20.3,4.2,"$59,010,951",0
2006,Detroit Pistons,82,64,18,0.78,48.4,96.8,36.4,80,45.5,6.8,17.7,38.4,17.3,23.8,72.7,11.9,28.6,40.5,24,11.4,7.1,6,3.5,18.5,20.9,6.7,"$59,619,275",0
2005,Detroit Pistons,82,54,28,0.659,48.7,93.3,34.8,78.3,44.4,4.4,12.8,34.5,19.4,26.2,73.9,12.9,30.6,43.4,21.8,13.8,7,6.1,4.5,20,0,3.9,"$54,762,481",0
