Season,Team,Champion?,GP,W,L,WIN %,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REDB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Salary
2022,Utah Jazz,,11,8,3,0.727,48,111.5,39.5,86.4,45.7,13.6,42.1,32.4,19,23.4,81.3,10.7,37.5,48.3,20,15.4,7.7,5.4,4.3,19.2,21,9.4,154205020
2021,Utah Jazz,0,72,52,20,0.722,48.2,116.4,41.3,88.1,46.8,16.7,43,38.9,17.2,21.5,79.9,10.6,37.6,48.3,23.7,14.2,6.6,5.2,3.9,18.5,19,9.3,136881324
2020,Utah Jazz,0,72,44,28,0.611,48.2,111.3,40.1,85.1,47.1,13.4,35.2,38,17.8,22.8,77.9,9.1,35.8,44.9,22.4,15.1,6.1,4.1,4.6,20.4,20.8,2.5,118910311
2019,Utah Jazz,0,82,50,32,0.61,48.2,111.7,40.4,86.4,46.8,12.1,34,35.6,18.8,25.5,73.6,10,36.4,46.4,26,15.1,8.1,5.9,4.6,21.1,22.4,5.3,113826156
2018,Utah Jazz,0,82,50,32,0.61,48.2,111.7,40.4,86.4,46.8,12.1,34,35.6,18.8,25.5,73.6,10,36.4,46.4,26,15.1,8.1,5.9,4.6,21.1,22.4,5.3,105606838
2017,Utah Jazz,0,82,51,31,0.622,48.2,100.7,37,79.5,46.6,9.6,26,37.2,17.1,22.9,74.7,9.4,33.8,43.2,20.1,13.6,6.7,5,3.8,18.8,20.2,3.9,80138192
2016,Utah Jazz,0,82,40,42,0.488,48.7,97.7,36.1,80.4,44.9,8.5,23.9,35.5,17.1,23,74.4,10.7,32.5,43.2,19,14.9,7.7,5.2,4.7,20.2,19.9,1.8,63608425
2015,Utah Jazz,0,82,38,44,0.463,48.1,95.1,35.4,79.2,44.7,7.4,21.7,34.3,17,23.5,72.1,12,31.9,44,19.9,15.3,7.6,6,4.7,19.3,19.6,0.2,60847538
2014,Utah Jazz,0,82,25,57,0.305,48.2,95,36,81.1,44.4,6.6,19.2,34.4,16.4,22,74.7,11,30.2,41.2,20.3,14.6,7,4.5,4.9,20.7,20.4,-7.2,56911999
2013,Utah Jazz,0,82,43,39,0.524,48.5,98,37.1,81.8,45.4,6.2,16.9,36.6,17.5,23,76.4,12.1,30,42,22.7,14.8,8.4,6.3,5.9,21.3,20.4,-0.1,65657569
2012,Utah Jazz,0,66,36,30,0.545,49,99.7,38.2,83.8,45.6,4.1,12.8,32.3,19.1,25.3,75.4,13,31.1,44.2,21.8,14.2,8.3,5.8,5.7,21.8,20.7,0.6,58178016
2011,Utah Jazz,0,82,39,43,0.476,48.5,99.4,37.4,80.4,46.5,5.3,15.3,34.6,19.4,25.1,77.1,11,28.5,39.5,23.4,14.3,7.7,5.9,5,22.7,22,-1.8,75855296
2010,Utah Jazz,0,82,53,29,0.646,48.2,104.2,39.4,80.2,49.1,5.4,14.7,36.4,20.2,27.2,74.1,10.6,31.6,42.2,26.7,15.2,8.2,4.9,5.4,22.7,22.2,5.3,71905244
2009,Utah Jazz,0,82,48,34,0.585,48.5,103.6,38.3,80.8,47.5,4.8,13.7,34.9,22.1,28.7,77.1,11.5,29.5,41,24.7,14.8,8.8,4.6,5.2,22.3,24,2.6,65841407
2008,Utah Jazz,0,82,54,28,0.659,48.1,106.2,40,80.4,49.7,5,13.4,37.2,21.3,28,75.9,11.5,29.4,40.9,26.4,14.6,8.7,4.3,5.1,24,23.1,6.9,64959089
2007,Utah Jazz,0,82,51,31,0.622,48.3,101.5,37.4,78.9,47.4,4.3,12.9,33.5,22.3,30,74.3,12.6,30,42.5,24.7,15.6,7,4.1,5.3,25.2,24.5,2.9,62364364
2006,Utah Jazz,0,82,41,41,0.5,48.5,92.4,33.5,75.7,44.2,3.8,11.3,33.6,21.6,30.1,71.9,13.1,29,42.1,21.6,15.7,6.4,6,5.6,24.8,25.7,-2.6,57372902
2005,Utah Jazz,0,82,26,56,0.317,48.2,93,34.5,76.8,44.9,3,9.3,32.8,21,27.7,75.7,12.8,27.4,40.1,22.3,15.8,6.6,4.6,5.8,26.7,0,-4.3,43515760
2004,Utah Jazz,0,82,42,40,0.512,48.2,88.7,32.8,75.3,43.6,3.1,9.6,32.1,20,26.8,74.6,13.5,27.7,41.2,20.4,16.6,7.1,6,6.5,25.6,0.1,-1.2,34747674
2003,Utah Jazz,0,82,47,35,0.573,48.2,94.7,35.3,75.5,46.8,2.7,7.8,34.9,21.3,28.6,74.5,12.5,29,41.5,25.6,16.8,8.6,5.7,5.2,22.4,0.1,2.4,50934629
2002,Utah Jazz,0,82,44,38,0.537,48.4,96,35,77.7,45,3.4,10.3,33.3,22.6,29.6,76.3,13.5,28.6,42.2,24.4,16.5,9.1,6.4,6.7,24,0.1,0.9,52642362
2001,Utah Jazz,0,82,53,29,0.646,48.2,97.1,36.1,76.7,47.1,4,10.4,38.1,20.9,27.8,75.2,11.5,29.1,40.6,25.7,15.8,8.1,5.6,5.5,25.7,0.1,4.7,53893860
2000,Utah Jazz,0,82,55,27,0.671,48.2,96.5,36.1,77.8,46.4,4,10.4,38.5,20.3,26.2,77.3,11.4,29.6,41,24.9,14.9,7.7,5.4,5,24.5,2.8,4.5,50348426
1999,Utah Jazz,0,50,37,13,0.74,48.7,93.3,33.7,72.4,46.5,2.8,7.8,36.1,23.2,30.2,76.7,11.1,30.2,41.3,24.1,16.3,8,5.5,5.3,22.7,0.1,6.5,30298560
1998,Utah Jazz,1,82,62,20,0.756,48.2,101,36.5,74.5,49,3,8.2,37.2,24.9,32.2,77.3,11.7,29.3,41.1,25.2,15.4,7.9,5,5.2,23.9,0.3,6.5,28505442
1997,Utah Jazz,1,82,64,18,0.78,48.4,103.1,38.2,75.8,50.4,4.1,11,37,22.7,29.5,76.9,10.8,29.4,40.2,26.8,15.4,9.1,5.1,4.5,24.1,0.2,8.8,25267000
2022,Washington Wizards,,10,7,3,0.7,49.5,110.3,41,88.6,46.3,10.7,32.2,33.2,17.6,22.3,78.9,8.6,39.1,47.7,22.7,14.4,6.9,6.2,4.7,18.1,19.6,4.4,136081985
2021,Washington Wizards,0,72,34,38,0.472,48.3,116.6,43.2,90.9,47.5,10.2,29,35.1,20.1,26.2,76.9,9.7,35.5,45.2,25.5,14.4,7.3,4.1,4.8,21.6,22,-1.8,131294012
2020,Washington Wizards,0,72,25,47,0.347,48.2,114.4,41.5,90.9,45.7,12,32.6,36.8,19.4,24.6,78.8,10.2,31.9,42,25,14.2,8,4.3,5,22.7,22.2,-4.7,121296256
2019,Washington Wizards,0,82,32,50,0.39,48.6,114,42.1,90.1,46.8,11.3,33.3,34.1,18.4,23.9,76.8,9.7,32.7,42.4,26.3,14.1,8.3,4.6,4.6,20.7,21.2,-2.9,123747588
2018,Washington Wizards,0,82,32,50,0.39,48.6,114,42.1,90.1,46.8,11.3,33.3,34.1,18.4,23.9,76.8,9.7,32.7,42.4,26.3,14.1,8.3,4.6,4.6,20.7,21.2,-2.9,123306396
2017,Washington Wizards,0,82,49,33,0.598,48.4,109.2,41.3,87,47.5,9.2,24.8,37.2,17.3,22.1,78.4,10.3,32.6,42.9,23.9,14.2,8.5,4.1,4.6,21.3,19.8,1.8,104016580
2016,Washington Wizards,0,82,41,41,0.5,48.2,104.1,39.5,85.8,46,8.6,24.2,35.8,16.5,22.5,73,9.1,32.8,41.8,24.5,14.5,8.6,3.9,4.3,20.8,20.1,-0.5,85055155
2015,Washington Wizards,0,82,46,36,0.561,48.7,98.5,38.3,82.8,46.2,6.1,16.8,36,15.9,21.4,74.2,10.5,34.2,44.7,24,15,7.3,4.6,4.3,20.8,19.6,0.7,73372974
2014,Washington Wizards,0,82,44,38,0.537,48.9,100.7,38.7,84.4,45.9,7.9,20.8,38,15.3,20.9,73.1,10.8,31.4,42.2,23.3,14.7,8.1,4.6,3.9,20.4,19.5,1.3,64698822
2013,Washington Wizards,0,82,29,53,0.354,48.4,93.2,35.5,81.6,43.5,6.6,18.2,36.5,15.6,21.3,73.3,10.8,32.3,43.2,21.6,15.1,7.3,4.6,4.4,20.5,19.1,-2.5,59715539
2012,Washington Wizards,0,66,20,46,0.303,48.1,93.6,36.6,83,44.1,5.2,16.3,32,15.3,21,72.7,11.7,29.9,41.7,19.1,15.3,8,6.3,4.5,21.3,18.7,-4.8,55386345
2011,Washington Wizards,0,82,23,59,0.28,48.6,97.3,37.2,84,44.3,4.8,14.4,33.2,18.2,24.4,74.5,12.4,29,41.3,19.4,15.3,8.1,6.1,5,22.6,20.3,-7.4,58324988
2010,Washington Wizards,0,82,26,56,0.317,48.4,96.2,36.7,81.7,44.9,5.3,14.9,35.3,17.6,23.1,76.2,11.8,30,41.8,19,14.9,6,5.1,5.1,21.4,20.5,-4.8,73440274
2009,Washington Wizards,0,82,19,63,0.232,48.1,96.1,36.5,81.2,45,4.8,14.6,33,18.2,23.8,76.7,11.7,28.4,40.1,20,14,7.5,4.5,5.3,20.5,20,-7.5,70743317
2008,Washington Wizards,0,82,43,39,0.524,48.5,98.8,36.4,81.6,44.6,7,19.7,35.6,19,24.3,78.2,12.3,29.3,41.6,19.6,13.2,7.7,4.8,4.4,19.6,20.2,-0.3,65278996
2007,Washington Wizards,0,82,41,41,0.5,48.4,104.3,37.4,83.2,45,6.8,19.7,34.8,22.6,29.6,76.5,12.2,29,41.2,20.2,13.8,7.7,4.6,4.6,22.2,23.5,-0.5,62733705
2006,Washington Wizards,0,82,42,40,0.512,48.4,101.7,36.3,81.2,44.7,6.1,17,35.7,23,30.4,75.7,12.6,28.6,41.2,18.6,13.9,8,4.1,4.2,22.6,25,1.9,54555947
2005,Washington Wizards,0,82,45,37,0.549,48.2,100.5,36.2,82.9,43.7,6.3,18.3,34.3,21.9,30.2,72.5,13.8,29,42.8,19.1,14.3,8.7,4.2,5,22,0,-0.3,49797050
2004,Washington Wizards,0,82,25,57,0.305,48.4,91.8,33.6,80,42.1,5.3,15.5,34.2,19.3,27,71.4,13.6,29.2,42.8,18.7,17.5,8.9,5,5.5,20.9,0,-5.6,45682902
2003,Washington Wizards,0,82,37,45,0.451,48.4,91.5,34.3,78,44,3.1,9.9,31.2,19.7,25.3,77.9,11.2,29.2,40.4,19.7,13.4,7.6,4.8,4.4,20,0,-1,46691190
2002,Washington Wizards,0,82,37,45,0.451,48.1,92.8,35.8,81.3,44.1,3.7,9.6,38.8,17.4,22.8,76.5,12.9,29.2,42,20.9,13,7,4.3,5,21.5,0.1,-1.4,54776087
2001,Washington Wizards,0,82,19,63,0.232,48,93.2,34.5,78.7,43.9,3.4,10.3,32.4,20.8,27.4,75.9,12.4,28.9,41.3,20.1,17,7.7,4.7,6.2,23.3,0.1,-6.7,59085969
2000,Washington Wizards,0,82,29,53,0.354,48.3,96.6,36.7,81.5,45.1,4.1,10.9,37.6,19.1,25.7,74.3,13,29.7,42.7,21.6,16.1,7.2,4.7,6.1,26.2,2.7,-3.3,53194441
1999,Washington Wizards,0,50,18,32,0.36,48.2,91.2,35.4,79.4,44.5,3.6,11.6,30.9,16.9,24,70.5,11.9,28.1,40,21.3,14.7,7.9,3.9,4.2,23,0.1,-2.2,34018500
1998,Washington Wizards,0,82,42,40,0.512,48.3,97.2,37.6,83.1,45.2,3.9,11.5,33.9,18.2,26.3,69.1,13.7,28.5,42.2,23.2,14.1,8.4,4.6,4.5,22.4,0.2,0.6,40718075
1997,Washington Wizards,0,82,44,38,0.537,48.4,99.4,39.1,81.4,48,4,12.2,33.1,17.1,24.1,70.7,12.3,29.5,41.8,23.4,15.7,8.7,4.9,4.1,22.1,0.2,1.6,34940000
